2017-02-07 00:46:11  /entrypoint.sh: static: does not generate config
HEALTH_WARN too few PGs per OSD (10 < min 30)
2017-02-07 00:46:12  /entrypoint.sh: static: does not generate admin key
pool 'cephfs_data' created
pool 'cephfs_metadata' created
new fs with metadata pool 2 and data pool 1
2017-02-07 00:46:15  /entrypoint.sh: SUCCESS
2017-02-07 00:46:15.713913 7efda0be1300  0 set uid:gid to 64045:64045 (ceph:ceph)
2017-02-07 00:46:15.713958 7efda0be1300  0 ceph version 9.0.0-18994-g1fdfa94 (1fdfa94459026b70e8925c0a530005456c526260), process ceph-mds, pid 197
starting mds.issdm-12 at -
2017-02-07 00:46:15.716046 7efda0be1300  0 pidfile_write: ignore empty --pid-file
2017-02-07 00:46:19.904482 7efd995e6700  0 mds.0.cache creating system inode with ino:1
2017-02-07 00:46:19.904793 7efd995e6700  0 mds.0.cache creating system inode with ino:100
2017-02-07 00:46:19.904814 7efd995e6700  0 mds.0.cache creating system inode with ino:600
2017-02-07 00:46:19.905016 7efd995e6700  0 mds.0.cache creating system inode with ino:601
2017-02-07 00:46:19.905118 7efd995e6700  0 mds.0.cache creating system inode with ino:602
2017-02-07 00:46:19.905400 7efd995e6700  0 mds.0.cache creating system inode with ino:603
2017-02-07 00:46:19.905528 7efd995e6700  0 mds.0.cache creating system inode with ino:604
2017-02-07 00:46:19.905654 7efd995e6700  0 mds.0.cache creating system inode with ino:605
2017-02-07 00:46:19.905758 7efd995e6700  0 mds.0.cache creating system inode with ino:606
2017-02-07 00:46:19.905855 7efd995e6700  0 mds.0.cache creating system inode with ino:607
2017-02-07 00:46:19.905947 7efd995e6700  0 mds.0.cache creating system inode with ino:608
2017-02-07 00:46:19.906083 7efd995e6700  0 mds.0.cache creating system inode with ino:609
2017-02-07 00:50:35.629684 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bc800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:50:50.634097 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bb000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:51:05.650082 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa953800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:51:20.661656 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa956800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:51:35.670170 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa955000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:51:50.674725 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa953800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:52:05.690642 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bc800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:52:20.706228 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bb000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:52:35.714804 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa956800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:52:50.715180 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa955000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:53:05.730746 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa953800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:53:20.746749 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bc800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:53:35.755250 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bb000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:53:50.755735 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa956800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:54:05.771672 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa955000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:54:20.783284 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa953800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:54:35.791845 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bc800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-07 00:54:50.796327 7efd9bd67700  0 -- 192.168.140.188:6800/3688328424 >> - conn(0x7efdaa8bb000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
