2017-02-23 04:47:32.830765 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:47:47.842948 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fddf800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:48:02.854278 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:48:17.862877 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:48:32.863316 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7b000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:48:47.878958 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:49:02.890933 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fddf800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:49:17.895359 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:49:32.899868 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:49:47.915366 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:50:02.927482 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7b000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:50:17.935950 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:50:32.938510 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fddf800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:50:47.954062 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:51:02.967970 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:51:17.976371 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7b000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:51:32.978938 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:51:47.994462 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fddf800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:52:03.008366 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:52:18.016815 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:52:33.017294 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7b000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:52:48.032842 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:53:03.044831 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fddf800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:53:18.049577 7fb870c38700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:53:33.053893 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:53:48.063247 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fde2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:54:03.063515 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:54:18.066547 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:54:33.070376 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:54:48.085888 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:55:03.098030 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe46000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:55:18.105990 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe78000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:55:33.110766 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:55:48.126630 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:56:03.137932 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:56:18.146804 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:56:33.150087 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe78000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:56:48.165969 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe46000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:57:03.178501 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:57:18.186924 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9f800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:57:33.187413 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe7c800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:57:48.203260 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe78000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:58:03.215082 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fe9e000 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
2017-02-23 04:58:18.223769 7fb871439700  0 -- 192.168.140.188:6800/1363449787 >> - conn(0x7fb87fea2800 :6800 s=STATE_ACCEPTING_WAIT_BANNER_ADDR pgs=0 cs=0 l=0).fault with nothing to send and in the half  accept state just closed
